#{"t_start": 1743683711.9150567, "env_id": "None"}
r,l,t
-1.3,20,15.53763
-14.3,20,15.556055
5.1,20,15.571383
23.7,13,15.571383
1.3,20,15.596423
24.7,17,15.609938
5.5,20,15.62266
15.5,20,15.646311
0.3,20,15.674108
-1.5,20,15.692487
23.1,16,15.713406
4.5,20,15.736577
-1.9,20,15.755541
17.3,12,15.7651
21.5,20,15.787276
4.9,20,15.805011
1.1,20,15.823302
31.3,20,15.844193
27.2,8,15.852428
21.3,20,16.637251
1.3,20,16.655716
12.7,20,16.682838
18.1,7,16.690354
0.7,20,16.70639
38.9,15,16.716464
13.9,20,16.740556
11.5,20,16.760621
-9.9,20,16.779785
5.1,20,16.806057
-8.1,20,16.833757
-1.3,20,16.839345
-11.5,20,16.873269
2.9,20,16.890251
23.3,10,16.902062
11.9,20,16.918065
16.1,20,16.940149
11.9,20,16.950063
8.1,20,16.966034
-0.1,20,16.990565
33.1,17,16.998103
-8.1,20,17.014235
9.1,20,17.030061
5.1,20,17.046171
0.9,20,17.062286
2.1,20,17.078061
7.5,20,17.093859
9.1,20,17.110028
26.5,19,17.130188
21.3,20,17.15232
7.9,20,17.173574
3.5,20,17.194816
0.1,20,17.207997
5.1,20,17.236791
31.3,17,17.262784
27.9,12,17.279118
9.7,20,17.304329
-0.5,20,17.325216
-1.5,20,17.355964
0.7,20,17.371134
-9.1,20,17.390916
26.3,10,17.402751
14.9,20,17.42506
7.3,20,17.46497
26.3,13,17.475959
10.1,20,17.490957
9.7,20,17.514988
-1.1,20,17.530929
24.9,20,17.547523
8.5,20,17.555716
23.6,8,17.555716
6.1,20,17.582646
7.1,20,17.591307
12.1,20,17.602974
0.5,20,17.619114
8.7,20,18.507242
1.1,20,18.526787
8.5,20,18.532539
-3.5,20,18.560638
1.9,20,18.564385
-7.5,20,18.593077
25.1,20,18.614712
0.9,20,18.628075
25.1,20,18.652608
14.1,20,18.6722
5.5,20,18.692082
24.2,8,18.698611
9.9,20,18.714623
13.9,20,18.730395
